mouse_ID,sample_type,counts_live_bacteria_per_wet_g
ABX009,cecal,12600000.0
ABX010,cecal,3480000.0
ABX011,cecal,12800000.0
ABX012,cecal,10900000.0
ABX013,cecal,5630000.0
ABX014,cecal,37500000.0
ABX015,cecal,10100000.0
ABX016,cecal,10100000.0
